stt,wrong,right
5139,"long xuyên thì lụm ve chai đi bộ về cà mau 400km, vừa lụm rồi bán ve trai trên đường","long xuyên thì lượm ve chai đi bộ về cà mau 400km, vừa lượm rồi bán ve trai trên đường"
5140,các nước bên châu âu thời xưa họ mặc đồ giống nhau có ai tố ai bắc trước ai đâu,các nước bên châu âu thời xưa họ mặc đồ giống nhau có ai tố ai bắt chước ai đâu
5141,đang chuần bị đấu võ bổng cả hai đều thấy đối thủ của mình quá đẹp,"đang chuẩn bị đấu võ, bỗng cả hai đều thấy đối thủ của mình quá đẹp"
5142,dạ cho em xin số liệu với ạ em chia sẽ thêm với mọi người ạ,"dạ cho em xin số liệu với ạ, em chia sẻ thêm với mọi người ạ"
5143,kiến nghị phát trực triếp gấp giấy 55 số bỏ vào thùng kính bóc xố mở ra đọc to. sợ ko giám làm. đừng dùng quay số điện tử tốn điện lắm,"kiến nghị phát trực tiếp, gấp giấy 55 số bỏ vào thùng kính, bốc số mở ra đọc to. sợ không dám làm. đừng dùng quay số điện tử tốn điện lắm"
5144,cách đây 5 năm trở đi mjh đã k sài hãng x nửa,cách đây 5 năm trở đi mình đã không xài hãng x nữa
5145,"tui đang xài hãng kia. ngon bổ rẻ thiệt, chạy mãi đợi nó chùng để tăng sên mà đợi mãi nó ko chùn buồn ghê ","tui đang xài hãng kia. ngon bổ rẻ thiệt, chạy mãi đợi nó chùng để tăng sên mà đợi mãi nó không chùng, buồn ghê "
5146,cái này nêu dõ vấn đề lỏng lẻo ở quản lý. cao tốc dù thu phí hay k thu phí vẫn phải bố chí lực lượng túc trực ở đầu và ra. đường dẫn kv chỉ làn oto chứ để đến khi sảy ra vạch kẻ dưới đường mới nêu trách nhiệm thuộc về ai,cái này nêu rõ vấn đề lỏng lẻo ở quản lý. cao tốc dù thu phí hay không thu phí vẫn phải bố trí lực lượng túc trực ở đầu và ra. đường dẫn khu vực chỉ làn ôtô chứ để đến khi xảy ra vạch kẻ dưới đường mới nêu trách nhiệm thuộc về ai
5147,"nhìn là biết đùa củng chả phải đùa mất dạy hay vô duyên, củng chả đụng chạm đến ai mà các bác vào chữi dữ. đúng là văn hóa mạng vn ngồi sau cái bàn phím nên chả ngại ngần gì","nhìn là biết đùa cũng chả phải đùa mất dạy hay vô duyên, cũng chả đụng chạm đến ai mà các bác vào chửi dữ. đúng là văn hóa mạng việt nam ngồi sau cái bàn phím nên chả ngại ngần gì"
5148,"băng qua đường ko nhìn thì các ông cũng chữi, giờ thò ra nhìn như thế các ông cũng chữi. thế các ông thử vô trường hợp phải qua đường như thế các ông làm gì? ","băng qua đường không nhìn thì các ông cũng chửi, giờ thò ra nhìn như thế các ông cũng chửi. thế các ông thử vô trường hợp phải qua đường như thế các ông làm gì? "
5149,chủ íu card nó nặng mới cần. mình sài 2060 2 fan nên ko cần lắm,chủ yếu card nó nặng mới cần. mình xài 2060 2 quạt nên không cần lắm
5150,"thế thì mạnh k có nghĩa là nhiều. đánh cháo khái niệm. thế thì gấp - ít, chứ k phải gấp - yếu","thế thì mạnh không có nghĩa là nhiều. đánh tráo khái niệm. thế thì gấp - ít, chứ không phải gấp - yếu"
5151,vui vẽ nào ae ơi,vui vẻ nào anh em ơi
5152,mình đang đi xe đó đây. 13 năm ngoài thay nhớt thay lốp ra ko có hư hổng gì. ngày chạy 50km.của bên tại người. chứ đưa người ko giữ xe thì xe tăng cũng hư ,mình đang đi xe đó đây. 13 năm ngoài thay nhớt thay lốp ra không có hư hỏng gì. ngày chạy 50km. của bền tại người. chứ đưa người không giữ xe thì xe tăng cũng hư 
5153,"xe kia dễ hư cái cần tăng cam, đúng nhận sai cải","xe kia dễ hư cái cần tăng cam, đúng nhận sai cãi"
5154,2003 nó là đẵng cấp từ thần thái diễn xuất đến vẽ đẹp của diễn viên... đặc biệt là vương phu nhân,"2003 nó là đẳng cấp từ thần thái, diễn xuất đến vẻ đẹp của diễn viên... đặc biệt là vương phu nhân"
5155,"làm ăn uy tín 1tr họ cũng vui vẽ cho khi say,lừa lọc xảo trá bịp bợm tới lúc khách họ phát hiện thì 50 xu rách cũng ko có còn bị chửi cho thối đầu","làm ăn uy tín 1 triệu họ cũng vui vẻ cho khi say, lừa lọc xảo trá bịp bợm tới lúc khách họ phát hiện thì 50 xu rách cũng không có, còn bị chửi cho thối đầu"
5156,giờ điểu tra ra không ta,giờ điều tra ra không ta
5157,dậy càng bị thương vùng mắt thì càng tăng tỉ lệ hệ miễn dịch phát hiện hả,vậy càng bị thương vùng mắt thì càng tăng tỉ lệ hệ miễn dịch phát hiện hả
5158,bị ngta đốt nhà. làm việc tốt thui mà bị ranh ghét nữa á. xã hội này bất công ghê,bị người ta đốt nhà. làm việc tốt thui mà bị ganh ghét nữa á. xã hội này bất công ghê
5159,bài hát và cả sỹ lẫn đoạn clip quá hợp bài hát quá đau lòng ,"bài hát và ca sĩ lẫn đoạn clip quá hợp, bài hát quá đau lòng "
5160,"hãy giử lấy ân tình,hãy giử lấy kỉ niệm,dù có xa nhau nhưng tình ta mãi k phai nhoà,ai còn nhớ chất đã 2 con ","hãy giữ lấy ân tình, hãy giữ lấy kỉ niệm, dù có xa nhau nhưng tình ta mãi không phai nhoà, ai còn nhớ chắc đã 2 con "
5161,tìm lồi ban họng mới thấy cover này hay ,tìm lòi bản họng mới thấy cover này hay 
5162,"nhạc lương xuân bá trúc anh đào đúng ko, kỷ niệm làm mình buồn quá","nhạc lương xuân bá, chúc anh đài đúng không, kỷ niệm làm mình buồn quá"
5163,để giả lợ cho đản nhá,để trả nợ cho đảng nhá
5164,đản dẫn dắt nhân dân,đảng dẫn dắt nhân dân
5165,20k người đang xem vải lin hôn,20 nghìn người đang xem vãi linh hồn
5166,giả lợ cho đản chứ nàm gì,trả nợ cho đảng chứ làm gì
5167,môi truong nắng ko bảo dưởng mặt kịp,môi trường nắng không bảo dưỡng mặt kịp
5168,sắt v lỗ 30x30 sơn màu sám độ cứng rất ok,sắt v lỗ 30x30 sơn màu xám độ cứng rất ok
5169,tôi tưởng phêm hành động không đó,tôi tưởng phim hành động không đó
5170,tất nhiên! bao công lắp chứ đâu có phải công của bao công lắp đâu mà bao công đòi xiềng. mà bao công r mà sao bao công đòi đc,tất nhiên! bao công lắp chứ đâu có phải công của bao công lắp đâu mà bao công đòi tiền. mà bao công rồi mà sao bao công đòi được
5171,"chương trình ngày xưa khó gấp n lần bây giờ , hồi đó toán làm tự luận ko biết là bỏ trắng, đâu phải trác nghiệm như giờ đánh lụi dc ","chương trình ngày xưa khó gấp n lần bây giờ , hồi đó toán làm tự luận không biết là bỏ trắng, đâu phải trắc nghiệm như giờ đánh lụi được "
5172,bạn ơi ship không nhận đơn hàng người ta đã muốn đánh 1 sao không lẽ quỳ lạy năng nỉ người ta đừng đánh giá ,"bạn ơi ship không nhận đơn hàng người ta đã muốn đánh 1 sao, không lẽ quỳ lạy năn nỉ người ta đừng đánh giá "
5173,chuẩn trong nam bắt dc trộm chó thì xát định nó luôn ,chuẩn trong nam bắt được trộm chó thì xác định nó luôn 
5174,thực tiễn kiểm nghiệm chân lý.thật tế cho thấy kinh phật luôn có những hạn chế nên người học phật phải rất thận trọng,thực tiễn kiểm nghiệm chân lý. thực tế cho thấy kinh phật luôn có những hạn chế nên người học phật phải rất thận trọng
5175,bởi zậy động đất,bởi vậy động đất
5176,miếng đó lẽ giá nhiêu vậy ah,miếng đó lẻ giá nhiêu vậy anh
5177,trà 2 chẹo/ 1 lạng là kin dồi. tao cũng dzãnh nghe hết câu chuyện,trà 2 triệu/1 lạng là kinh rồi. tao cũng rảnh nghe hết câu chuyện
5178,phố hộp dữ. đau rược quá bây,phối hợp dữ. đau ruột quá bây
5179,đi thời gian ko bảo dưởng nó sét sẹt,đi thời gian không bảo dưỡng nó sét xẹt
5180,truyện tranh đọc cảm giác cũm hay khác hơn so với truyện chữ bạn thử đọc lại xem sao,"truyện tranh đọc cảm giác cũng hay, khác hơn so với truyện chữ bạn thử đọc lại xem sao"
5181,cho hỏi síu. hình như t k thấy phanh sau của chiếc xe,cho hỏi xíu. hình như tôi không thấy phanh sau của chiếc xe
5182,đồ en nấu tệ thật sự... ,đồ em nấu tệ thật sự...
5183,"bấm 1 sao, tx đuổi khách xuống xe. song khoá app","bấm 1 sao, tài xế đuổi khách xuống xe. xong khoá app"
5184,xe con dẽ thì chờ nó qua rồi sang đường. nó đi thẳng được ưu tiên rẽ trái ngay nó trả tông,xe con rẽ thì chờ nó qua rồi sang đường. nó đi thẳng được ưu tiên rẽ trái ngay nó chả tông
5185,các cháu bây giờ lsao biết được phồng tôm ngày đó. đấm phát chếc luôn,các cháu bây giờ làm sao biết được phồng tôm ngày đó. đấm phát chết luôn
5186,giỡn quài 1 trong phản diện chính đó ba 1 mảnh ghép quan trọng!,giỡn hoài 1 trong phản diện chính đó ba 1 mảnh ghép quan trọng!
5187,"tư mã ý là tk cầm hết cả thiên hạ trong tay, tào tháo dù mún giết nhưng về sao tư mã ý còn giả ngu giả khờ ác hơn nữa nên tháo chết mới bt thiên hạ không hẳn thuộc về mik","tư mã ý là thằng cầm hết cả thiên hạ trong tay, tào tháo dù muốn giết nhưng về sao tư mã ý còn giả ngu giả khờ ác hơn nữa nên tháo chết mới biết thiên hạ không hẳn thuộc về mình"
5188,đến trụ vương còn thất thủ thì nói gì mấy vân nhân cỏn con này,đến trụ vương còn thất thủ thì nói gì mấy văn nhân cỏn con này
5189,xe xịn cỡ này mà chày mà đau tim luôn,xe xịn cỡ này mà trầy là đau tim luôn
5190,thay xong bảo nó vẻ cho cái khác,thay xong bảo nó vẽ cho cái khác
5191,nếu cô ấy còn ở đó thì dù có mòn ik trong nữa tui cx ko thay,nếu cô ấy còn ở đó thì dù có mòn đi chăng nữa tui cũng không thay
5192,chúc pạn năm mới sống trong ánh sáng 10 phương chư phật,chúc bạn năm mới sống trong ánh sáng 10 phương chư phật
5193,m từ đường nhánh rẻ ra trục đường thì phải nhường đường cho xe đi thẳng ,mày từ đường nhánh rẽ ra trục đường thì phải nhường đường cho xe đi thẳng 
5194,đi ngu nắm,đi ngu lắm
5195,làm cái này thì khẩu trang thật tốt vào. trong bo mạc nsx có thêm sợi thuỷ tinh. hít vào là ko đảo thải ra khỏi ng đc.,làm cái này thì khẩu trang thật tốt vào. trong board mạch nhà sản xuất có thêm sợi thuỷ tinh. hít vào là không đào thải ra khỏi người được.
5196,"mình chơi ở đây nhiều rồi, dịch vụ nói chung là ổn. tuy nhiên vấn đề gửi xe thì lại là quá thất vọng, khách đến tiệm phải tự xắp xếp xe của mình rồi đi vào đọc biển số để bảo vệ ghi đưa thẻ. bảo vệ ngồi ôm cái điện thoại, không màng khách đến để xe ntn, cứ để xe và tới chỗ ổng ngồi ""đọc số xe và xin giấy giữ xe"". bảo vẹ lười.","mình chơi ở đây nhiều rồi, dịch vụ nói chung là ổn. tuy nhiên vấn đề gửi xe thì lại là quá thất vọng, khách đến tiệm phải tự sắp xếp xe của mình rồi đi vào đọc biển số để bảo vệ ghi đưa thẻ. bảo vệ ngồi ôm cái điện thoại, không màng khách đến để xe như thế nào, cứ để xe và tới chỗ ổng ngồi ""đọc số xe và xin giấy giữ xe"". bảo vệ lười."
5197,kẻ địch ẩn nập đâu đó,kẻ địch ẩn nấp đâu đó
5198,"bởi z mới nói đừng dạy người giàu sài tiền, ta chơi tới thể loại nầy thì cũng không phải dạng vừa đâu","bởi vậy mới nói đừng dạy người giàu xài tiền, ta chơi tới thể loại này thì cũng không phải dạng vừa đâu"
5199,xem phim này có nhiều miêu kế vẫn áp dụng vào thương trường tới này điển hình nhấp phần vua lừa nhà buôn thuốc giả.,"xem phim này có nhiều mưu kế vẫn áp dụng vào thương trường tới nay, điển hình nhất, phần vua lừa nhà buôn thuốc giả."
5200,mẹ mình bán tạp hoá.hỗm có 2 thanh niên vào mua thuốc lá.xong bảo e quên tiền nên k lấy nữa đâu a.mình bảo cứ cầm đi.a cho nợ.lần sau quay lại nó để tờ 200k và chạy đi.bảo a giữ hết đi,"mẹ mình bán tạp hoá. hổm có 2 thanh niên vào mua thuốc lá. xong bảo: ""em quên tiền nên không lấy nữa đâu anh."" mình bảo: ""cứ cầm đi. anh cho nợ."" lần sau quay lại nó để tờ 200 nghìn và chạy đi. bảo anh giữ hết đi"
5201,ông kiu ngta lm quan 20năm k kiếm đc 20ngàn lạng vàng. ng ta bớp lại kiu truy sét nhà hoà đại nhân thì ai ms là ng toang. nhà hoà đại nhân vàng đâu tính bằng lạng mà phải tính = tấn,"ông kiu người ta làm quan 20 năm không kiếm được 20 ngàn lạng vàng. người ta bốp lại, kêu: ""truy xét nhà hoà đại nhân"" thì ai mới là người toang. nhà hoà đại nhân vàng đâu tính bằng lạng mà phải tính bằng tấn"
5202,nhiều tài khó chụi lắm,nhiều tài khó chịu lắm
5203,hehe con gái e đó mn.hnay trộm vía sao nó lại ngồi im cho bs lấy ráy tai luôn ,hehe con gái em đó mọi người. hôm nay trộm vía sao nó lại ngồi im cho bác sĩ lấy ráy tai luôn 
5204,"mấy cha gì cũng bic hết á, bíc họ k đủ trình lun",mấy cha gì cũng biết hết á. biết họ không đủ trình luôn
5205,điều hiển nhiên ai cũng bic nó làm bên an ninh rồi nó k có dính được mấy cái của hacke âu,điều hiển nhiên ai cũng biết nó làm bên an ninh rồi nó không có dính được mấy cái của hacker đâu
5206,b lại k biết rồi ngụy diên hiến kế đánh trường an mà gia cát lượng thích an toàn lên k nge chứ k thắng rồi,"bạn lại không biết rồi ngụy diên hiến kế đánh trường an, mà gia cát lượng thích an toàn nên không nghe, chứ không thắng rồi"
5207,"mình chả bao h ăn nước chấm cn của hãng kia, cứ mắm truyeend thống thôi","mình chả bao giờ ăn nước chấm công nghiệp của hãng kia, cứ mắm truyền thống thôi"
5208,"thăm tình hơn cả huynh đệ nữa đó bro, ae vợ đấy ","thâm tình hơn cả huynh đệ nữa đó bạn, anh em vợ đấy "
5209,xịt vào giẻ lao rồi lao cho sạc tý thôi,"xịt vào giẻ lau, rồi lau cho sạch tý thôi"
5210,chẳng lẻ đất nẽ chui lên,chẳng lẽ đất nẻ chui lên
5211,đây phải đội tuyển ko dạy,đây phải đội tuyển không vậy
5212,"lái xe người ta ko chữi thì thôi, các ông ngồi lướt đt ở nhà mà làm như csgt","lái xe người ta không chửi thì thôi, các ông ngồi lướt điện thoại ở nhà mà làm như cảnh sát giao thông"
5213,mình đang đợi nón bảo hiểm 1k8 nè mà ko có mút cầm,"mình đang đội nón bảo hiểm 1 triệu 8 nè, mà không có mút cằm"
5214,quân nào khôn nạn vậy chứ,quân nào khốn nạn vậy chứ
5215,ko uổng công con đi hơn 40 km với pk của bác,không uổng công con đi hơn 40 km với phải không các bác
5216,có clip full bày này ko,có clip full bài này không 
5217,ruột cá lóc nhúm giấm,ruột cá lóc nhúng giấm
5218,"dịch vụ là có cung có cầu, ai rãnh chạy không 50 cây chỉ để trả lại cái đt ","dịch vụ là có cung có cầu, ai rảnh chạy không 50 cây chỉ để trả lại cái điện thoại"
5219,bởi thằng răng hộ mã tấu vậy đó,bởi thằng giang hồ mã tấu vậy đó
5220,"khách hàng chớ có phải là bố đâu,cứ đưa cho công an ròi tự lên đồn mà lấy","khách hàng chớ có phải là bố đâu, cứ đưa cho công an rồi tự lên đồn mà lấy"
5221,"quen thói bố đời lỗi mình mà cứ bắt người khác xử lý, k được chiều thì quay ra chưởi, tài xế hành xử đúng và rất ủng hộ nha, ","quen thói bố đời, lỗi mình mà cứ bắt người khác xử lý, không được chiều thì quay ra chửi, tài xế hành xử đúng và rất ủng hộ nha, "
5222,cái thằng gặp mình thì song luôn bác tài hiền quá,"cái thằng gặp mình thì xong luôn, bác tài hiền quá"
5223,phim về cảng về sau càng cuốn,phim về càng về sau càng cuốn
5224,clip dàn dựng cho vui thôi mà. giờ đó mà ai đâu rãnh để chỉa ống kính vào ông bán bắp xào đêm khuya,clip dàn dựng cho vui thôi mà. giờ đó mà ai đâu rảnh để chĩa ống kính vào ông bán bắp xào đêm khuya
5225,"ví dụ kèo twisted fate vs sylas hồi xưa con twisted fate có thể nhận damage xong thả diều ngược lại, từ ngày con riot hạ 10 tốc độ di chuyển của twisted fate là twisted fate thua lun kèo này","ví dụ kèo twisted fate với sylas hồi xưa con twisted fate có thể nhận damage xong thả diều ngược lại, từ ngày con riot hạ 10 tốc độ di chuyển của twisted fate là twisted fate thua luôn kèo này"
5226,"mình rất thít thần tượng, châu tin trì ",mình rất thích thần tượng châu tinh trì 
5227,có á bro. đợt gần chỗ t cháy quán karaoke xe cứu hỏa lại ông ngồi buồng láy nhảy xuống còn mặc cái quần đùi xanh áo thun 3 lỗ luôn á,có á bro. đợt gần chỗ tôi cháy quán karaoke xe cứu hỏa lại ông ngồi buồng lái nhảy xuống còn mặc cái quần đùi xanh áo thun 3 lỗ luôn á
5228,võ thuật thất sự,võ thuật thật sự
5229,tất cả liên quan tới sử lý khí hai thôi anh,tất cả liên quan tới xử lý khí thải thôi anh
5230,rồi nó qua một không gia khác rồi,rồi nó qua một không gian khác rồi
5231,làm giàu hong khó,làm giàu hông khó
5232,mõi bánh có 1 con ốc nên họ tháo ra rất nhanh nhé,mỗi bánh có 1 con ốc nên họ tháo ra rất nhanh nhé
5233,làm thợ hồ mà k biết quy tắc cấm xay mã mồ cho gia đình dòng họ hay gì.,làm thợ hồ mà không biết quy tắc cấm xay mả mồ cho gia đình dòng họ hay gì.
5234,trước khi vào ngành anh là vua chơi xe độ đó.có vậy mới trị được mấy em hậu sinh lẽo mép chứ.,trước khi vào ngành anh là vua chơi xe độ đó. có vậy mới trị được mấy em hậu sinh lẻo mép chứ.
5235,tuy trào phún nhưng nội dung là thật kg á,tuy trào phúng nhưng nội dung là thật không á
5236,cải này reo hạt chứ ai trồng kiểu như vậy,cải này gieo hạt chứ ai trồng kiểu như vậy
5237,nhún dô nước sôi thì được ,nhúng vô nước sôi thì được 
5238,nếu phải đức zua là bọn nó vào xâu xé kinh nắm,nếu phải đức vua là bọn nó vào xâu xé kinh lắm
5239,xe như nài mà bán giá tỷ ko.. nược cười quá,"xe như này mà bán giá tỷ không, nực cười quá"
5240,80 cũ làm thế nào thay hay sửa,"80 củ làm thế nào, thay hay sửa"
5241,người ta hỏi thay hay sữa chữa j mà nóng vậy thánh,"người ta hỏi: thay hay sửa chữa, gì mà nóng vậy thánh"
5242,sin giá,xin giá
5243,biết đậu parking rất dể,biết đậu parking rất dễ
5244,doanh nghiệp khó kiếm người giỏi làm được việc mà chụi lương thấp đấy,doanh nghiệp khó kiếm người giỏi làm được việc mà chịu lương thấp đấy
5245,em cũng có nó là mèo thược đế,em cũng có nó là mèo thượng đế
5246,kh có não nên kh cần bải vệ,không có não nên không cần bảo vệ
5247,chạy gớt xuống núi còn chua chét,chạy rớt xuống núi còn chưa chết
5248,công hoa phí quá nhiều,công hao phí quá nhiều
5249,sạo chứ làm gì có dán mí nào vi diệu v đừng làm ngta có hy vọng,"xạo chứ làm gì có dán mí nào vi diệu vậy, đừng làm người ta có hy vọng"
5250,thế mà tq đánh giặc ngoại xâm tàn thua,thế mà trung quốc đánh giặc ngoại xâm toàn thua
5251,"người ta nạo van gỗ, mà nói vẽ cũng hây","người ta nạo van gỗ, mà nói vẽ cũng hay"
5252,thì khoá lại cho bã mở,thì khoá lại cho bả mở
5253,mới chét cục cức mũi vô chạy đỡ về,mới trét cục cức mũi vô chạy đỡ về
5254,khầy thuốc hôm nay bị khách thuốc gòy,thầy thuốc hôm nay bị khách thuốc rồi
5255,dành hết đất điễn của ngừi ta ròi anh zai ui,dành hết đất diễn của người ta rồi anh trai ơi
5256,mới mua 2 chức ăn gần hết,mới mua 2 trứng ăn gần hết
5257,lạ miện ngon ăn ...bớt sân si cho phẻ cái não nhe pan,lạ miệng ngon ăn. bớt sân si cho khoẻ cái não nhe bạn
5258,ăn chay thì ăn nước tương nghe cho nó hợp lý bày đặc nước mắm muốn nước mắm thì ăn nước mắm mặm cho nhanh còn nói thơm như nước mắm mặm nói con nít ba tuổi nó nghe,"ăn chay thì ăn nước tương nghe cho nó hợp lý, bày đặt nước mắm, muốn nước mắm thì ăn nước mắm mặn cho nhanh, còn nói thơm như nước mắm mặn nói con nít ba tuổi nó nghe"
5259,chén song r bỏ cũng chưa muộn,chén xong rồi bỏ cũng chưa muộn
5260,uỷ viên bộ trính trị,uỷ viên bộ chính trị
5261,tiệm nét nó là cái phếu thôi,tiệm net nó là cái phễu thôi
5262,tính kêu mà thấy mắc quá bên thôi,tính kêu mà thấy mắc quá nên thôi
5263,không phải đâu ho chung nước sôi,không phải đâu họ trụng nước sôi
5264,nếu nhiệm thu công trình dùng bàng đèn phin ko ai dám nhận làm,nếu nghiệm thu công trình dùng bằng đèn pin không ai dám nhận làm
5265,chưa từng thấy ai lãi xe mà cũng để cho xe hết xăng đc,chưa từng thấy ai lái xe mà cũng để cho xe hết xăng được
5266,con cháu chũ tich nước,con cháu chủ tịch nước
5267,tướg như con nháy,tướng như con nhái
5268,"ức chế nhất đoạn chăn chối rồi. nói chuyện trên trời dưới đất, đến đoạn nói tên hung thủ thì tắt thở ","ức chế nhất đoạn trăn trối rồi. nói chuyện trên trời dưới đất, đến đoạn nói tên hung thủ thì tắt thở "
5269,chơi cờ tướng vui thặc sự ,chơi cờ tướng vui thật sự 
5270,flex có kịch bản nó soang hẳn,flex có kịch bản nó sang hẳn
5271,mê bã lắm,mê bả lắm
5272,"tiết kiêm vật chất , để có đất nó xây dựng hoăc hợp thức hóa kiếm chát và cho giao viên nghỉ bớt đặng ngân sách dư ra dể tham nhũng ,chư quang tâm cháu nhỏ xe cộ chi , để xem đúng không nghen ,","tiết kiệm vật chất, để có đất nó xây dựng hoăc hợp thức hóa kiếm chác và cho giáo viên nghỉ bớt đặng ngân sách dư ra dễ tham nhũng, chứ quan tâm cháu nhỏ xe cộ chi, để xem đúng không nghen ,"
5273,nhưng mà mình sài android cơ,nhưng mà mình xài android cơ
5274,1 dây chuyền ra vuông luân nhưng khuân nó cũng uốn tròn rồi mới ra vuông nhé,"1 dây chuyền ra vuông luôn, nhưng khuôn nó cũng uốn tròn rồi mới ra vuông nhé"
5275,sẽ máy đi ngược,xe máy đi ngược
5276,"nghịch lý fermi thôi mà, đọc xog thấy soắn não hơn","nghịch lý fermi thôi mà, đọc xong thấy xoắn não hơn"
5277,rồi ai nhụt,rồi ai nhục
5278,suy nghỉ của chị,suy nghĩ của chị
5279,ông ấy đã sử lý nhưng k còn tác dụng,ông ấy đã xử lý nhưng không còn tác dụng
5280,mình có dịp được gặp ông ý đôi bàn tay ông ý trai sạn nhiều hơn thôi nhưng rất khỏe và trắc chắn.,"mình có dịp được gặp ông ấy, đôi bàn tay ông ấy chai sạn nhiều hơn thôi nhưng rất khỏe và chắc chắn."
5281,độc bình luận mà tui cười có mình à,đọc bình luận mà tui cười có mình à
5282,đúng là làm nhũng não phá hoại 1 thế hệ ,đúng là làm nhũn não phá hoại 1 thế hệ 
5283,zen di chuyền,gen di truyền
5284,"học nó quan trọng lắm, học khôn học kinh nghiệm, đừng học hút dầu, đừng học mách qué","học nó quan trọng lắm, học khôn học kinh nghiệm, đừng học hút dầu, đừng học mánh khoé"
5285,"ơ người ta đang nạnh mà , cái a này ko biết thương người ak","ơ người ta đang lạnh mà, cái anh này không biết thương người à"
5286,cô lau cong : chắc nay ko đc nhận lương ròi,cô lao công: chắc nay không được nhận lương rồi
5287,nói dốt thì cải,nói dốt thì cãi
5288,miến sướng là đc,miễn sướng là được
5289,đố mấy siu xe làm đc,đố mấy siêu xe làm được
5290,người xem cảnh nầy thích lắm,người xem cảnh này thích lắm
5291,mấy ông già cựu cầu thủ đá giao hữu để gay quỹ từ thiện thôi nên k quan trọng luật lệ lắm,mấy ông già cựu cầu thủ đá giao hữu để gây quỹ từ thiện thôi nên không quan trọng luật lệ lắm
5292,tập chung quá nhiều công trình quan trọng vào 1 chỗ,tập trung quá nhiều công trình quan trọng vào 1 chỗ
5293,"đăng ng ta lên che biển số ngta đi, để ng ta bị phạt mình có áy láy kg","đăng người ta lên che biển số người ta đi, để người ta bị phạt mình có áy náy không"
5294,rớt xuống chúng ng khác hoặc nặng hơn gây tai nạn chết người có áy náy ko,rớt xuống trúng người khác hoặc nặng hơn gây tai nạn chết người có áy náy không
5295,hèn gì đồ gỗ giờ rẽ hơn trước rất nhiều và nhiều ông thợ bỏ nghề,hèn gì đồ gỗ giờ rẻ hơn trước rất nhiều và nhiều ông thợ bỏ nghề
5296,người ta không biết thì nhấc khách lần sau rút kinh nghiệm là được đầu phải làm thế tóm lại là cái quán này moi người lên chánh xa kẻo xuất ngày bị ăn đồ thừa,"người ta không biết thì nhắc khách lần sau rút kinh nghiệm là được, đâu phải làm thế, tóm lại là cái quán này mọi người lên tránh xa kẻo suốt ngày bị ăn đồ thừa"
5297,sấu quá đi ăn còn lấy về,xấu quá đi ăn còn lấy về
5298,chaecs có dàn sếp rồi,chắc có dàn xếp rồi
5299,đóng một xuất đc bao nhiêu ăn bấy nhiêu ai cho mang về,"đóng một suất được bao nhiêu ăn bấy nhiêu, ai cho mang về"
5300,quả này mà chọt lọt về ăn mệt,quả này mà trót lọt về ăn mệt
5301,gớm nhìn cứ gỡ quầy bán hải sản luộc chín ở bải biển chứ. đúng là miếng ăn là miếng nhục,gớm nhìn cứ ngỡ quầy bán hải sản luộc chín ở bãi biển chứ. đúng là miếng ăn là miếng nhục
5302,1 chiếc cà phê mê cung,1 ly cà phê mê cung
5303,"đưa con đi ăn cắp , chủ xốp quá tốt rồi , cảm ơn nhiều","đưa con đi ăn cắp, chủ shop quá tốt rồi, cảm ơn nhiều"
5304,giống tôi trạm thu phí hà nội. xe con rẽ sang làn khác ko nhìn. xe tôi tới bây hết cả đèn và mặt lạ và bạn tự thay hết,"giống tôi trạm thu phí hà nội. xe con rẽ sang làn khác không nhìn. xe tôi tới, bay hết cả đèn và mặt nạ. và bạn tự thay hết"
5305,cẫm y vệ,cẩm y vệ
5306,nội cái đi khắc thực là đã sai rồi chưa nói đến việc ông này giản sai,"nội cái đi khất thực là đã sai rồi, chưa nói đến việc ông này giảng sai"
5307,tại ổng bỏ giấy tờ ở nhà thôi chứ ổng là địa chính xả k lẻ k có căng cước,"tại ổng bỏ giấy tờ ở nhà thôi, chứ ổng là địa chính xã không lẽ không có căn cước"
5308,tới lúc nó đi ngược chìu nó sắn vào m thì lại khóc than số phận,"tới lúc nó đi ngược chiều, nó sấn vào mày thì lại khóc than số phận"
5309,tại sao những video như này ko lang tỏ nhiều hơn,tại sao những video như này không lan toả nhiều hơn
5310,má nào cho con chơi khôn dậy,má nào cho con chơi khôn vậy
5311,j&t việt nam là nhượng quyền nhé. ko phải góc đâu,j&t việt nam là nhượng quyền nhé. không phải gốc đâu
5312,dạ không giám vượt nên mới có tốc độ như vậy đó,dạ không dám vượt nên mới có tốc độ như vậy đó
5313,chụp bản số lại cho csgt lập biên bản thôi chứ chờ j nữa,chụp bảng số lại cho cảnh sát giao thông lập biên bản thôi chứ chờ gì nữa
5314,yêu cầu kiến thức vạn biếc,yêu cầu kiến thức chuyên biệt
5315,không ngờ tới luân,không ngờ tới luôn
5316,do mình có tầm nhìn và theo quy luật vòng xoắn nên giờ vẫn sài xe đạp,do mình có tầm nhìn và theo quy luật vòng xoắn nên giờ vẫn xài xe đạp
5317,"nghiên cứu đầy ắp thông tin của tác giả nguyễn cung thông, về tiếng việt thế lỷ 17","nghiên cứu đầy ắp thông tin của tác giả nguyễn cung thông, về tiếng việt thế kỷ 17"
5318,bây giờ là rẻ phải rẻ trái mới chịu,"bây giờ là rẽ phải, rẽ trái mới chịu"
5319,số tự động kết hộp vs điện cơ à,số tự động kết hợp với điện cơ à
